# mu(L) = min eig of G^{-1/2} Q2 G^{-1/2} on constrained space (T1 <=> mu > -1, given G>0)
# L      mu        headroom(1+mu)  margin_G   total_exact
0.370  -0.30795   +0.69205        +0.48793   +0.428497
0.400  -0.50952   +0.49048        +0.40948   +0.238583
0.430  -0.67392   +0.32608        +0.33663   +0.119896
0.460  -0.80832   +0.19168        +0.26862   +0.054024
0.490  -0.90844   +0.09156        +0.20483   +0.020132
0.520  -0.97022   +0.02978        +0.14474   +0.005248
0.545  -0.99172   +0.00828        +0.09719   +0.001272
0.560  -0.99457   +0.00543        +0.06966   +0.000681
0.580  -1.05033   -0.05033        +0.03406   +0.000245
